seed,n,eph,per
14,13000,7.88343e-2,1.5886006
14,13000,5.75719e-2,1.2949031
14,13000,5.47356e-2,1.5348747
15,13000,3.70288e-2,1.5216599
15,13000,5.27868e-2,1.3195744
15,13000,3.73737e-2,1.5116661
15,13000,4.56845e-2,1.4553936
15,13000,4.49784e-2,1.4577786
15,13000,5.53436e-2,1.4669848
15,13000,5.80185e-2,1.6104983
15,13000,3.42643e-2,1.4046125
15,13000,5.81612e-2,1.5671164
15,13000,6.15271e-2,1.5580891
16,13000,3.65478e-2,1.3785944
16,13000,4.56476e-2,1.6790851
16,13000,3.72048e-2,1.3692599
16,13000,3.56156e-2,1.3919432
16,13000,3.57354e-2,1.5734013
16,13000,3.26512e-2,1.4575701
16,13000,5.22361e-2,1.4180501
16,13000,6.41719e-2,1.3756046
16,13000,6.13736e-2,1.5046269
16,13000,5.58463e-2,1.4209836
17,13000,5.14571e-2,1.259644
17,13000,4.77332e-2,1.4132348
17,13000,3.70557e-2,1.5724863
17,13000,6.48869e-2,1.413332
17,13000,4.83395e-2,1.3149133
17,13000,3.71053e-2,1.4772062
17,13000,5.26741e-2,1.3970969
17,13000,5.79628e-2,1.533468
17,13000,6.26404e-2,1.4597653
17,13000,3.17878e-2,1.3958494
18,13000,3.03138e-2,1.2868603
18,13000,3.37871e-2,1.2052757
18,13000,4.44719e-2,1.3023512
18,13000,4.88377e-2,1.4843017
18,13000,3.48809e-2,1.1787451
18,13000,4.05461e-2,1.1780163
18,13000,3.4425e-2,1.3599366
18,13000,3.37256e-2,1.3981547
18,13000,3.51097e-2,1.2741816
18,13000,3.27345e-2,1.3345125
19,13000,5.8954e-2,1.5429401
19,13000,3.62169e-2,1.3854725
19,13000,5.65043e-2,1.362837
19,13000,3.75327e-2,1.371339
19,13000,5.27679e-2,1.3379094
19,13000,5.49537e-2,1.4680425
19,13000,3.1765e-2,1.3738482
19,13000,5.64995e-2,1.4869945
19,13000,3.46969e-2,1.4041821
19,13000,4.45139e-2,1.3635069
20,13000,3.01812e-2,1.2019818
20,13000,6.68117e-2,1.3595247
20,13000,3.64463e-2,1.2633527
20,13000,3.38895e-2,1.3839308
20,13000,3.35804e-2,1.2657813
20,13000,3.43309e-2,1.2050167
20,13000,7.24317e-2,1.452518
20,13000,3.48028e-2,1.2168294
20,13000,3.75635e-2,1.434411
20,13000,3.35711e-2,1.3540227
21,13000,6.08508e-2,1.3260861
21,13000,7.79166e-2,1.4786076
21,13000,4.75473e-2,1.331671
21,13000,3.28942e-2,1.0453052
21,13000,2.67097e-2,1.2123675
21,13000,2.91646e-2,0.9373308
